景区名称,用户名,评论内容,标签
万平口海滨灯塔,马蜂窝用户,已决定安家在灯塔景区内了没办法超级喜欢海,positive
泉城公园,北落师门,泉城公园位于济南市区中部，千佛山西侧，经十路以南，是一座风景植物园，同时也是中国规模最大的城市公园。,positive
环海路风景线,昀宝1127,超乎想象的好，这条环海路是我老公在网上搜到的，又问了当地的司机师傅才走的这条路，结果发现这是一个非常明智的选择。因为去时是6月底这条路没有几辆车，风景很美路上可以随时停车看风景,positive
济南方特东方神画,金西米,购买的日间票，二百多，感觉可以值回票价！定在国庆十一假期的白天去，本来以为人会非常多，实际人并没有那么多，完全可以接受，排队最长的排了30分钟，时间短的基本上没有排。早上9点半入园晚5点半出园，中午没有休息，还是有些累的。地理位置虽然在城郊，但是有多辆公交车可以直达还是非常方便的，门口的停车场也够大。招牌的项目基本上都走了一遍，简单来说下。心动指数五颗星的丛林飞龙是我们第一个玩的项目，早上比较兴奋，人也少，排了十分钟就上去了，惊险刺激啊，失重到无法控制自己！如果喜欢刺激一定要去试一试。惊魂之旅，刺激指数五颗星，其实是个室内过山车，相比丛林飞龙会轻松很多，摸着黑坐过山车也是很爽的，想再来一次，至于恐怖，中间好像出现了几次骷髅吧。雷峰塔，40米高的室内跳楼机，过程比较短，高度比较低，周围的LED屏幕显示的画面也比较2，如果想体验瞬间失重还是可以做的，只是不太适合恐高症患者。仙岛探秘，刺激指数2星，比较有趣吧，一群不认识的人做一个转盘上漂流，溅起少量水花，玩完还想玩那种。飞越河谷，刺激指数3星，刺激源于衣服全湿吧……一定准备长一点的雨衣，一次性雨衣有点短，中间有开缝，鞋子裤子都会湿，座位都是湿的。孟姜女，推荐指数5星，类似舞台剧，光影相结合那种，道具，演员，灯光，音响结合到一起非常震撼，全程可以目不转睛。不过，最后的眼泪什么鬼！！化蝶传说，推荐指数5星，全息影像技术，真人表演跟光影结合，很震撼，故事情节也不错，有感动到，陷入唯美的爱情，提示，做过那么多刺激项目，这么柔美真的容易入睡。牛郎织女，推荐指数5星，圆顶天幕带来的视觉效果确实是普通屏幕难以比拟的，加上座椅的旋转上升晃动相结合，视觉效果很棒，代入感很强，等待时间比较长，好在很值得！女娲传奇，推荐指数4星、类似于4D，5D电影吧，所有配角只有一句话，给我五彩石！呵呵，蛮不错的娱乐项目！比较轻松。梨园游记，推荐指数4星，感受国粹戏曲艺术，被文化震撼，360度屏幕还是3D效果离得太近，有点晕。决战金山寺，推荐指数4星。个人感觉一般，故事大家都熟悉，就是坐船上在室内走一圈、周围布景可以，最后水漫金山寺效果可以，会被喷溅到水滴。还有些海盗船，木马，魔天伦，跳跳蛙，我们没有玩，一方面那是儿童娱乐为主，另一方面我们这次主动避免致晕项目。总的来说，所有演出意外好看，这是最让人惊喜的。,positive
曲水亭街,张麒麟丶,位于历下区大明湖街道办事处辖区内，北起大明湖路，南经西更道街北口转东止东更街北口，东临百花洲，通后宰门街、小兴隆街，西通泮壁街、辘轳把子街和涌泉胡同，北临院后街，南临珍珠泉宾馆。门牌1-35号，2-20号。长530米，宽2.8米，沥青路面。在小兴隆街西口附近的河东岸，原有三间草房，名曲水亭，坐东朝西，房前屋后，小溪弯弯，流水潺潺，垂扬依依，亭门悬挂着郑板桥撰写的对联：“三椽茅屋，两道小桥，几株垂柳，一湾流水”。街以亭而得名，亭以水而命名，水以曲而著称。如此神韵，让人感叹。,positive
张裕酒文化博物馆,OM,感觉还不错。门票略贵，但是包含了diy酒，挺好玩的。,positive
峄山,小马尔蒂尼,从小就去过，现在连索道都有了，越来越有商业气息的济宁第二山（第一是梁山）,positive
青岛第三海水浴场,不忘初心,青岛比较干净的海滩了，而且海水很干净。,positive
杨家埠民俗文化古村,转角※镜惘,美丽、古朴的杨家埠民间艺术大观园以风筝、年画为主导，民风民俗为主题，乡土气息浓郁、民俗风情浓厚，值得一去,positive
青岛路老建筑群,噁彝矢悳嗳,建筑虽说古老，也很有历史的痕迹，建筑本身也是很漂亮的,positive
