景区名称,用户名,评论内容,标签
临淄中国古车博物馆,kris,小时候学校已组织活动就去的地方,neutral
曲水亭街,莱漂阳,曲水亭街是泉城济南一条闻名中外的历史文化特色老街。曲水亭街连接大明湖、百花洲、王府池子、芙蓉街，文化气息十分浓厚。,positive
德国风情街,子木Anne,德国风情街实在不值得去，只有一个博物馆。如果对道路交通发展史感兴趣的话另说,neutral
竹泉村旅游度假区,是刘猫猫小姐吗,村民服务很热情，停车的时候三步一岗五步一哨，很快找到车位；景区不大，是根据原先竹泉村改造的，景色基本没变，有竹林，有泉水，原先的民宅都改成了客房，预定可以免门票；还有小范围动物园真心没啥意思，动物表演看了让人心寒；南边那片玩的地方表现不出色，类似于山区打造的那种简易游乐设施，索桥什么的没什么意思，孩子来玩还可以，大人就逛逛村子就行。,positive
成山头国家重点风景名胜区,Little_蕾,威海到成山头的客车是私人的，汽车站说上车买票，卖票的说没票不让上车。一个旅游城市的汽车站这么管理，真给威海抹黑！,positive
沂蒙山旅游区云蒙景区,又见炊烟,森林茂密，层峦叠嶂；飞瀑流泉，溪水潺潺；沂蒙山区，天然氧吧。,positive
斗母宫,遨游,古称龙泉观。明嘉靖21年(1542)重修，改由尼姑住持。是泰山中轴线上唯一的佛教寺院。虫二”当时感觉很有意思，一直在问为什么会是这两个字，后来才知道，原来是繁写的风月两字去掉边框，哈，风月无边，这深意！“泰山安则四海皆安”，封建时代，帝王登封泰山，被视为天下太平国家兴旺的标志。因此泰山的宗教也很多样化，主要是儒、释、道三教。从山脚到山顶一路上有很多寺庙，此次来泰山，虽无所求，但也是逢庙必进，尤其是登山初期，斗母宫，三官庙，碧霞灵应宫，过了中天门还有增福庙，东岳庙，山顶是碧霞祠，青帝宫，孔子庙，玉皇庙。有求前程的，求姻缘的，求财求子，祈福祈寿各有不同。我就本着敬而不拜，无欲无求，只为见识的心态一一走过。,positive
海驴岛,evakongb,比较安静、干净的小岛，以海鸥著称，但是我们去的时候可能一是季节，二是时间原因，没大看到海鸥。现在去的人还不是太多，海水比较干净，坐在海湾的沙滩上，听涛拍岸的声音，感觉不错。,positive
桃花峪,SandyH,桃花裕只见其名不见其景，名气听起来是挺美的。,positive
林海公园,小溪,位于南长岛，这里的景观非常漂亮，淡季人很少，能俯瞰大海，推荐。,positive
第一海水浴场(滨海北路),路人丁的野望,阳光、沙滩、风筝、海浪，如果有兴致，那将是一场愉快的旅程。,positive
神雕山野生动物保护区,走天涯未果,露天海族馆可以买小鱼喂食，就在大海中隔了好多格子，海狮海豹海豚什么的都在，这比一般海族馆要舒服，远处看海景很美！,positive
济南动物园,莱漂阳,济南动物园原名金牛公园，后称金牛动物园，始建于1959年10月，1960年5月1日开放，1989年9月8日改称济南动物园;济南动物园位于济南市北部,positive
任家台度假村,飘逸的张老二,原来去过的，很久很久以前的事了……,neutral
康有为故居,hingewang,这半山上的独立西式小院和中西合璧风格的洋楼符合维新派宗师和离尘不离城的要求。任何人看了都会觉得这才是又有文化又有钱。,positive
瞻鲁台,张飞腾,这里你要赶上天气好的时候来是绝逼不错的，看你的运气,positive
九丈崖,color,10年前去过，这回去了还是很喜欢，渔家也不错，吃的好爽快，扇贝随便捞熟就行，很新鲜很好吃，每餐都点，一到烟台养马岛吃的就差很多，,positive
德国监狱旧址博物馆,willalau,旋转的楼梯，很有特色，是个拍照的好位置,positive
山东省科技馆,锐锐小辰,第一次去是和男朋友去的，里面有很多好玩的东西，建议大家去看看！,positive
成山头国家重点风景名胜区,满天星,风景很美，但是旅游体验真的好差好差好差！！！！！处处都在挣钱，那个始皇庙(妈祖庙)里面洗脑式强制消费，先让你拿一个红色福包，说是免费的，告诉你进去有大师帮你解读，香火是自愿的，结果就是一连串的套路啊，每样东西都是赤裸裸地要钱的，不知道这里受不受监管，回程路上还很气愤，里面工作人员看上去还是真诚脸，对，真诚地骗钱，从来没体验过这样的！,negative
烽山公园,忘川,长岛联票的景点，环境很好，值得一去,positive
雪野湖,大风起兮,航天运动之城，水清山秀，现在不知如何了,positive
泉城公园,马蜂窝用户,"泉城公园位于济南市区中部,建成于1989年9月,1997年9月免费向社会开放。",positive
芝罘岛,小盼子,9月份来的烟台，气候舒适宜人，芝罘岛位于烟台市的最北面，地理位置有些偏僻，称之为岛但并未与烟台市相分离，这里属于居民区，并非景区，开车行驶在芝罘岛内，人烟稀少，景色幽静。芝罘岛适合自驾游，岛上的主干道是沿着海岸线铺设的，可以随时停车欣赏港口边的景色，海湾上遍布大小不一的船只，景色寂静辽远。,positive
九如山瀑布群风景区,htbb2326,徒有虚名，太令人失望了，门票太贵了,negative
台儿庄大战纪念馆,miss金,凭身份证免费，蹭讲解全听下来得一个半小时，自己在里面看看都不知道在看什么。记住！不能穿拖鞋！不能穿拖鞋！不能穿拖鞋！虽然门口不远有卖鞋的,positive
巨峰景区,好逑丶,巨峰还是很漂亮的，在山上能看到大海的。就是盘山公路太长了，得坐大巴。,positive
青岛太平角公园,东湖浪人,非常幽静、美丽的海滨公园。只是那块最神秘的“角”为军事禁区，游人无法靠近，遗憾！,positive
魏氏庄园,野狼,清朝末期典型的地主庄园建筑，很有特色。值得一去。,positive
东昌湖,太僧,好美哦！非常好！非常好！美极了！,positive
百脉泉景区,快乐游侠,百脉泉为济南七十二名泉之一，与趵突泉齐名并列，坐落在山东省济南市章丘区，位于济南市东部。因山明水秀，群泉汇集，章丘区素有“小泉城”之称。,positive
青岛电视塔,涛声依旧?,晚上在栈桥看夜景看到了青岛电视台，景色不错。,positive
济南植物园,酒心7,济南植物园不在济南市区是在章丘，公共交通过去还是挺麻烦的要3个小时左右，植物园里很安静环境很好，气氛很好空气新鲜，青草绿树还有秋千，很适合静静心散散步。旁边就是济南市野生动物园了。,positive
大乳山滨海旅游度假区,Andrew,山势浑圆丰满，顶峰挺拔突起，形态优美，故称大乳山。,positive
泰和山风景区-黄花溪景区,朱小洁,黄花溪真的非常美，山清水秀，有气势庞大的瀑布还有静静流淌的小溪，非常适合中年以上的人群，山不高游玩很轻松。,positive
崂山太清宫,赵昱焱,太清宫，最早记载汉代即有人在此修道。地理位置风水绝佳，三面环山，大海当前。现有宫殿观宇最早始建于宋代，后几经修缮变动，但一些建筑仍旧保留着宋代的建筑特点和风格。,positive
万平口海滨风景区,石桥,18年去的，就当回忆了。抓住夏天的尾巴，趁天还没变凉去了一次。还没看到就感到扑面而来的海风，捎着水气升腾，清爽，潮湿，咸（不知道为啥，但就是闻到咸）。晴，和电影里的一样，蓝天碧海金沙滩，浪花冲刷着沙滩，情侣牵着手走在浪花里，海风轻轻的吹着脸颊。可以游泳推荐在人多的地方，因为救生员聚集在那岸边有免费冲洗的水龙头，每隔不远就有一个，厕所也一样，好像还有冲洗间，沙滩摩托挺贵的，（不想玩尽量别问）景区海岸线很长，如果是走走还好，别在人少的地方游泳。出门看天气预报，风大阴天就别去了，还要看潮汐，别买东西。,positive
大佛头,心在远方,大佛头位于佛慧山，千佛山南侧，山上除了大佛头还有唐朝开元寺遗迹，岩壁上刻满佛像，大佛头是最有名的一个。山上自然风貌保留较好，佛寺古色古香,positive
潍坊世界风筝博物馆,牟振鲁,这是我家啊，这些地方我都去过了，还说啥,positive
玉皇顶,a昊吃不胖,玉皇顶是泰山最高峰，在这里看下面简直就是一览众山小,positive
微山湖微山岛景区,喵~个咪,风剥月蚀日出斗金沂蒙山西部边缘小山丘，商末贤人微子葬此山顶后，称为微子山或微山。微山湖形成后成为岛屿。微山岛，镶嵌在微山湖上的一颗明珠。四面环，东西长6公里，南北宽3.5公里，面积约9平方公里。岛上十四处村庄环岛濒水棋布。微山岛景区有张良墓、微子墓、铁道游击队纪念碑、目夷墓景点等。荡舟于翠绿的清波中，美轮美奂。西行20公里，还可以去水上觅古，水下寻幽，探寻水中沉城留城。盛夏荷花季，湖面开满了一大片一大片的荷花。放眼望去，百亩荷塘延绵不绝，竞相开放有如海洋。微山岛物产富饶，有鱼类78种、水生植物87种，百余种湖鲜名吃。您可以走进渔村，品尝渔家饭菜。,positive
天谷·天然地下画廊,坏老婆,喜欢地下漂流，去了两次必须玩的~~~~~~~~~~,positive
车由岛,马蜂窝用户,长岛本身就是一个旅游好去处，这里的风景尤为好,positive
昆嵛山,二辣辣,作为烟台难得能爬的几座山，昆嵛山春夏秋去都不错。爬山难度2颗星，长度适中，海拔平均，往返的话可以自驾也可以包车，来回的话早晨9点出发，下午4点就能回去。来过昆嵛山两次，一次是大一时候的班级活动，另一次是大三的学生会活动，每次跟朋友们在一起都觉得特别欢乐。,positive
济南动物园,綄羙★孤单,1989年去过那是公园里的鹦鹉还会跟游人对话，2013年去今年路过动物园因时间的问题没有进去,positive
青岛天幕城,张晗,根本都不算一个景点就是天空有一块大的广告部，而且有破损地方特别多，都已经荒废了，人们在里面跳广场舞，2008年7月17日。,negative
万佛洞,doudouxiong2007,万佛洞位于千佛山内，需要另买门票，票价15元。是一长约500余米的山洞，在洞中有23000余尊各式各样的佛像，里面佛像很多，基本上是禁止拍照的，只能用手机偷拍几张，用相机的话有闪光灯效果，对这些佛像不太尊重，所以还是建议用手机拍吧，用相机的话也要关了闪光灯。,positive
天下第一泉风景区,YanC超,到这里，你就真的能感受到这座泉城带来的独特魅力，绿柳成荫，泉水环抱。这里大大小小的泉眼好几个，水是非常的清澈，鱼儿肥大有活力，有柳树的地方非常凉快，许多地方都坐满了当地的百姓，下棋、饮茶、聊天，非常舒适。,positive
台儿庄大战纪念馆,＼(^o^)／小时,红色革命旅游，纪念馆很详细的介绍当时的台儿庄大战情景，告诉我们胜利来之不易,positive
历下亭,幸运草,历下亭在大明湖中央的小岛上，可以乘船过去，在岛上欣赏湖光山色甚是美妙。,positive
牟氏庄园,倒霉~蛋,古色古香的大宅子，但是商业化的挺厉害的，几乎逛了一天，挺大的，当时去的时候没有像北京那种宅院里的讲解导游，也就看个风光，了解不到历史和故事。,positive
回澜阁,韭菜花儿日记,位于栈桥的尽头，古色古香，傲立海中！,positive
杏坛,浮海一苇,学而不厌，诲人不倦，得天下英才而育之,positive
大天鹅国家级自然保护区,风语战士,里的水面很开阔，水质也比烟墩角村要强，天鹅的数量也不算少，但是由于水面太大，天鹅又十分分散，不利于游客较近距离的拍照，也就对照相设备有了较高的要求。,positive
微山湖湿地红荷风景区,不安于世的行者,距离家乡很近的地方，我吃着这里的鱼虾长大滴，还有藕,positive
青岛路老建筑群,爱大笨笨的小笨笨,2014年国庆，跟老公的第一次出游，也是第一次去老公家。,neutral
云步桥,霞浦林生,离“药王殿”不远，向左拐，就走上了一座单拱石桥，在桥拱额上镶嵌着“步云桥”三个红色行书大字，这座桥就是“步云桥”。从“步云桥”再向上攀爬400多米，就走进了“中天门”。,positive
五岳独尊,超级晶晶晶?,人民币5元背面的风景所在地，五岳独尊大石头，原来在这里，人气超级高！来往游客络绎不绝的要拍张照，大家都从兜里拿出了五块钱对着一顿拍，我也要这么来一张，不过总是会拍到路人甲，,positive
威海国际海水浴场,雨昊,威海国际海水浴场位于山东省威海市火炬高技术产业开发区，是一个天然海水浴场，一年四季分明，冬暖夏凉，属于典型的海洋性气候。浴场东临山东大学威海校区，海岸线全长2800余米，沙滩面积30万平方米，沙质柔细，海水清澈，滩坡平缓，可同时容纳10万名游客。威海国际海水浴场与刘公岛、成山头并称为威海三大景区，是国内最好的海水浴场之一，是旅游度假、避暑疗养的胜地。每年的5月1日至10月1日，是游览最佳时节。坐公交7路可直达。,positive
原山国家森林公园,suwen1988,看图片很漂亮，但去的时候正赶上施工，很多景点都没有完善好，希望下次更好,positive
山东大学(威海),少年耶，安啦！,去每个地方旅行，女朋友总喜欢去当地的大学看看。可能因为大学没能一起读的缘故吧。山东大学威海校区，还是挺大的，而且因为还丘陵地带，学校内部上坡下坡的路比较多。不过风景还是非常好的。真是很羡慕在这里上学的学生啊。校内绿化十分好，林木覆盖面积非常大。不过，不知道为什么校内人很少，可能因为是十一的原因，大家都出去玩了吧，没出去玩的就宅在宿舍，所以学校里面很挺少的。学校附近的餐饮那是不用多说，小吃，饭馆都挺多的。吃东西非常方便，交通也挺方便。进出学校并不用登记什么的。有校园情节的，可以回去怀念怀念自己的青葱岁月,positive
万鸟岛,长岛黑山旅游,万鸟岛！4-7月底，数以万计的海鸥非常震撼！前往时从这里出发.....长岛黑山旅运游客中心：0535-3218998,positive
青岛美术馆,行走的泰迪熊,没进去过，关的门，不过挺漂亮的,positive
万平口海滨灯塔,PC王小鬧,去日照这里是首要景点~值得一去~,positive
台儿庄大战纪念馆,凌纵九霄,还行啊了解点历史但是好多重复内容，纪念馆看一个就行,positive
望夫礁,second3344,地方大，有山有水，足足逛了半天,positive
彩石溪,杨少,就是一块大石头了这里其实没有太多的风景的慢看一下,neutral
牟氏庄园,Crystal,门票挺贵的，防空洞里面没有灯，多亏手机有手电筒。细心观察好有钱呀，墙缝都是铜钱垫的,positive
海驴岛,张奥然1995,坐船去岛上的途中海鸥都会跟随在船边很壮观岛上海鸥很多六月份小海鸥刚刚长大海鸥与人相处很和蔼有的海鸥还会跟你摆动作去吧感受大自然的美丽我跟朋友同去二人都没逃避天降鸟粪的厄运哈哈希望各位去的朋友做好防范措施以免会有礼物落在你身上哈哈,positive
烟台月亮湾,〆ミ葙盻≮,月亮湾也叫月牙湾，烟台月亮湾西与烟台山呼应，北与芝罘岛遥望，东可看崆峒岛，南可见玉岱山，交通便利，具有得天独厚的地理位置和景观资源。,positive
刘公岛,澜之本尊,是个受教育的好地方，再加上博学多识的姐夫，每个景点的详解，收获满满，就是纪念币太贵了，30块钱一块。,positive
周村烧饼博物馆,〆ミ葙盻≮,地方小吃发展的典范，可以看如何打烧饼，也可以品尝刚刚出炉的烧饼,positive
仰口浴场,心在远方,漂亮，环境太漂亮了。漂亮，环境太漂亮了。,positive
魏氏庄园,蘑菇丸子小小倩,趁端午小假期带着孩子去的，门票50元，个人觉得贵了--携程45元，一米三以下免票。主要是看树德堂，规模特别大，院落很多，很值得参观，可以跟着解说听一下。后面的福寿堂和徙义堂就显得有点简陋了，里面是一些民俗展示，比如剪纸、惠民踩鼓等。,positive
三仙山,?Katey柠檬汁?,景区不错，逛的八仙过海和三仙山。风景确实不错，就是停车费真坑，蓬莱阁停车费10块，八仙过海和三仙山停车费20元，看到三仙山门口有家店写的‘进店免费停车’，进去一问，看你消费钱数?，我嘞个去啊，有能耐挣外国人钱去，欺负本国人算啥能耐呀。,positive
大观园（济南）,花の道,就是一个小吃街的感觉，除了一个大观园庙，没有什么了,neutral
天烛峰,溪雨落,封禅大典就在这里哦也可以从这里直接去爬泰山,positive
乳山银滩旅游度假区,Allison,沙滩人不多，很干净，冲洗设施很健全！沙子是白色的细细的,positive
天外村,路边咖啡Bob,远看泰山，迷茫中忽隐忽现。。。,positive
日照九仙山风景区,莱漂阳,"九仙山风景名胜区为五莲山风景名胜区的一部分，与五莲山隔壑相峙，兼具奇、秀、险、怪、幽、旷、奥七大特色，最大的特点是""地中山、地中潭、地中瀑""，素以""奇如黄山，秀如泰山，险如华山""而著称。",positive
山东大学,迷蒙双眼,山东综合性最好的学府，有很多校区，可以酌情参观,positive
烟墩角,一朵云跳起舞来,来看天鹅的好地方，如果再来点雪，就更棒了。记得多穿点衣服。,positive
沂蒙山旅游区龟蒙景区,～雪^O^梅～,我们自驾去的，停车收费10元。入景区成人票80元，1.2米～1.4米半票。进入景区后，游览车停车场一侧是个很小的地质博物馆，有些动物标本，可以一看。因为没有到山顶的车，只能坐车到九龙潭，每人20元，1.2米以上全票。从九龙谭到玻璃桥，一路全是爬山，爬上去大概3个多小时，一路上没啥景点，也没啥娱乐，也没有风景，就是不停的爬台阶。玻璃桥，20元一张票，1.2米以上全票。玻璃桥之后是悬崖栈道，风景还不错，除此之外也没啥了。悬崖栈道走到一半我们就回来了，实在太累了。回来按原路返回，走到九龙潭，可以坐漂流回来，漂流+游览车的联票，40元一人，1.2米以上全票。漂流还可以一玩。总之，这景区票花的挺不值，就是倒贴我钱，我都不会来第二次了！！,positive
拱北石,楊過的黯然销魂掌,在玉皇顶东侧的日观峰上，有一巨石向北斜上横出，名为“拱北石”，因其形犹如起身探海，故又名“探海石”。,positive
漱玉泉,景州老周,"漱玉泉，金代《名泉碑》、明代晏璧《七十二泉诗》和清代郝植恭《七十二记》所著录的济南""七十二名泉""之一。位于济南“天下第一泉”之趵突泉公园李清照纪念堂南侧，属""趵突泉泉群""。""漱玉""一词源于《世说新语·排调》中的""漱石枕流""。漱玉泉泉池呈长方形，池长4·8米，宽3·1米，深2米。四周围以汉白玉栏杆。泉水自南面的溢水口汩汩流出，层叠而下，漫石穿隙，淙淙有声，注入螺丝泉池中。明代诗人晏璧曾有""泉流此间瀑飞经琼，静日如闻漱玉声""的赞语。相传宋代著名女词人李清照的传世之作《漱玉集》就此泉命名。交通位于趵突泉公园内，市内乘14、41、49、K51、K52、K54、66、72、82、85、101、102、103、104路公交车，均可到达公园。气候5月至11月为旅游旺季,9-11月份是最佳旅游时间,此时秋高气爽,气候宜人。",positive
山东大学,柠萌雨辰,来学校里安静的逛一逛校园，感受一下学习氛围，还有充满青春活力的大学生们，也是不错的体验。,positive
胶州湾大桥,Jenny季妮,青岛海湾大桥又称胶州湾跨海大桥，当地的朋友带着我们开了一圈，天气真的很好，非常美，他负责开车，我们负责看风景。因为很长，所以有大湾的时候特别的好看。,positive
望人松,Arron1990,望人松，树冠下一长枝披拂，仿佛翘望八方游人。望人松位于山上五大夫松西侧山腰，当时可能走得比较急，没有太留意五大夫松，不过记得《笑傲江湖》中泰山派有一门绝学是“五大夫剑”，说是由“五大夫松”一景所悟创出的剑法。,positive
燕儿岛山公园,THRU,一个不出名的公园呀，所以人真的很少，景色也不错，免费进入。之前看到有游记写到燕儿岛山公园，看到图片特别的喜欢就来这啦，喜欢海边的木栈道，喜欢这广阔的大海，喜欢这里的喧嚣与安静，喧嚣是我们来时这里的风真的超级大，海浪不断的拍打着岸边与石块，整个人都被吹得凌乱了；安静是因为比起其他地方，人真的不算多啦。这边的石块都是那种比较大块的，爬起来会要比那种小礁石困难些，加上风刮得很大，我们就是在危险边缘试探！浪特别大，拍打着那些石块的场面很壮观。,positive
仙境源,lzhyhh,感觉没什么去的必要，不过这里人不多，倒是可以在此下海,positive
定远舰景区,静静的黎明,停泊在威海的这艘“定远”舰，是全亚洲第一艘按原型1∶1完整复制的清代军舰，其外观与历史原舰完全相同，再现了历史上“定远”舰的风采。门票价格60元，性价比不是太高。,positive
青岛葡萄酒博物馆,MR.w,很不错，值得一去，感受葡萄酒的发酵及酿造过程，还能免费品尝，真的不错，适合喜欢葡萄酒的人去参观，这里还有地下酒窖哦,positive
泉城广场,大黄蜂,济南的一个大广场，个人不太感兴趣，喜欢逛街的人另有所求。,neutral
青州博物馆,野狼,山东省内我参观过很多博物馆，青州博物馆是建设、规划、设计都是很不错的。不愧是国内县级中最大最好的。,positive
蒲松龄纪念馆,天有信,蒲松龄，纯粹的知识分子。另外领导来参观的挺多…,positive
情人坝,Anna,2016年的清明，初次来到青岛2018年的清明，二刷来到青岛还是同样的情人坝还是同样的小白塔长长的堤坝深入海中，海浪拍打在岸边溅起白色的浪花，4月的海风还有些微凉，吹得有些头痛，远方满头白发的老人口中的香烟忽明忽暗，海钓的鱼竿随着海风轻轻的摇曳。耳边的钢琴声伴随着海浪，手中的热咖啡。嗯，还回来第三次。,positive
乳山银滩旅游度假区,念小姐,乳山银滩的交通不是很便利，所以最建议的方式是自驾，也方便去周边的青岛、威海、烟台、日照玩。自驾不方便也可以坐火车或者飞机到青岛，然后坐大巴两个小时就可以到银滩。,positive
微山湖微山岛景区,蚂蜂窝用户,一句话就是他妈的坑，，，刚回来船票来回两个人小船380大船580坐上船到了景点还得另外买票进景点，，，有100左右的景点有几十的景点，，，上岛说的还得租个车大约4-5百开船的说的他私自联系的最低300元，，，我真服微山岛了，，，你是国家几级旅游胜地收费这么高，，，平均下来一人得7-8百块钱，，，前几年去了一次做的渡轮才花了几十块钱，，，你问问滕州的红荷湿地通票多少钱，，，台儿庄古城多少钱，，，有人想去的就去那扔吧，，，,positive
五龙潭公园,矿物质饮料,门票只要五块钱，我的学生证省了一半?,positive
泰山风景名胜区-南天门,刘刘刘刘刘文中,到南天门，从这里向下看就是泰山最出名的十八盘了，从上面向下看真的很壮观，也很自豪能坚持走上来。,positive
微山湖微山岛景区,灰灰,作为山东人来之前看评价心里也是慌慌的来之后看着莲花坐着小船心情也是极好的如果是自驾游的小伙伴他有一个轮渡可以载车一车60来回到岛上后我们根据地图延岛环岛一周来到老槐树哪里看了千年槐树就在槐树最里面有一家老槐树饭店他家里有船然后80元租的小船价格也算公道然后去了铁道游击队纪念馆进行了一下革命教育最后乘船离开本人觉得岛上开发的不好环境也不是很理想没有公共厕所,positive
百脉泉景区,都爱三哥,挺不错得地方，但必须是雨水多，各种泉水喷涌，非常的美！,positive
青岛市民俗博物馆,张含露露露崽,正好碰到山西旅游团，跟着他们听导游讲解，讲着讲着就开始拜拜拜、买买买，大家开心就好。,positive
天马岛,Extreme°\/,离莒南县城还是有一段距离，自驾还行，去了之后环境真的很一般啊、、,neutral
烟台月亮湾,czj,月亮湾也叫月牙湾，烟台月亮湾西与烟台山呼应，北与芝罘岛遥望，东可看崆峒岛，南可见玉岱山，交通便利，具有得天独厚的地理位置和景观资源。深月形的海湾，海水清澈，沙滩平缓，卵石晶莹，风轻境幽。,positive
